               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.021556,            0.007454,           0.0011969,              0.8282,             0.78012,             0.76847,             0.53351,            0.032402,           0.0082113,            0.011863,           0.0029706,           0.0029706,           0.0029706
                  71,            0.021593,           0.0075024,          0.00086972,              0.8202,             0.78455,             0.77459,             0.54656,            0.030933,           0.0082513,            0.011418,            0.002855,            0.002855,            0.002855
                  72,            0.020828,           0.0073482,          0.00070889,             0.82974,             0.77664,             0.77778,             0.55033,            0.031763,           0.0080236,            0.010211,           0.0027419,           0.0027419,           0.0027419
                  73,            0.021283,           0.0072929,          0.00075887,              0.8447,             0.75217,             0.77583,             0.55617,            0.031577,           0.0078942,            0.010167,           0.0026316,           0.0026316,           0.0026316
                  74,            0.021483,           0.0073897,          0.00079325,             0.82591,             0.78878,             0.77982,              0.5519,            0.031507,           0.0079717,             0.01043,           0.0025241,           0.0025241,           0.0025241
                  75,            0.020064,           0.0073987,          0.00072861,             0.83093,              0.7786,             0.76466,             0.54177,            0.032079,           0.0084423,            0.012344,           0.0024195,           0.0024195,           0.0024195
                  76,            0.019769,           0.0069829,          0.00065885,             0.83514,             0.76884,             0.75731,             0.52513,            0.033057,            0.008512,            0.012468,            0.002318,            0.002318,            0.002318
                  77,            0.020263,           0.0068704,          0.00054944,             0.82917,             0.76444,             0.75953,               0.544,            0.031791,           0.0083681,            0.011607,           0.0022196,           0.0022196,           0.0022196
                  78,            0.020222,           0.0071352,          0.00062734,             0.82049,             0.79419,             0.77864,              0.5388,            0.031557,           0.0083202,             0.01076,           0.0021245,           0.0021245,           0.0021245
                  79,            0.019937,           0.0066994,          0.00052358,             0.77474,             0.77944,             0.75222,             0.52648,            0.031894,           0.0085315,            0.011666,           0.0020327,           0.0020327,           0.0020327
                  80,            0.019522,           0.0070435,          0.00049907,             0.82012,             0.77021,             0.75655,             0.54095,            0.031799,           0.0088138,            0.012873,           0.0019443,           0.0019443,           0.0019443
                  81,            0.020077,            0.007283,          0.00046518,             0.84016,             0.76748,             0.75286,             0.54944,            0.032065,           0.0088172,            0.013145,           0.0018594,           0.0018594,           0.0018594
                  82,            0.020064,           0.0071607,          0.00061619,             0.83765,             0.78119,             0.76815,              0.5582,            0.030885,           0.0087237,            0.011868,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019242,           0.0070719,          0.00083696,             0.85712,              0.8009,             0.79038,             0.56067,            0.031934,           0.0083186,            0.012189,           0.0017005,           0.0017005,           0.0017005
                  84,            0.019693,           0.0069813,          0.00056872,             0.84174,             0.80761,             0.78077,             0.56077,            0.032108,            0.008373,            0.012803,           0.0016267,           0.0016267,           0.0016267
